name,datetime,humidity,precip,windspeed,cloudcover,visibility,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c,precip_chance
Arima,2005-02-15,73.5,0.6096,12.8,34.2,8.4,32.1,23.1,27.6,36.0,23.1,29.1,21.9,1
Arima,2005-02-16,74.5,0.4826,8.1,49.3,8.9,33.0,21.1,26.8,36.6,21.1,28.3,21.3,1
Arima,2005-02-17,72.6,0.0,12.7,59.3,7.9,33.0,22.1,27.7,37.1,22.1,29.5,21.9,0
Arima,2005-02-18,73.6,0.0,12.7,82.4,7.8,34.0,22.1,26.9,36.5,22.1,28.0,21.2,0
Arima,2005-02-19,70.6,0.0,14.9,73.1,9.3,33.8,22.4,27.2,36.9,22.4,28.3,20.9,0
Arima,2005-02-20,74.0,0.0,12.8,52.3,9.5,34.0,21.1,26.8,35.7,21.1,27.6,20.8,0
Arima,2005-02-21,65.6,0.3048,20.7,61.3,7.8,33.0,22.1,27.6,34.6,22.1,28.3,19.9,1
Arima,2005-02-22,77.4,0.0,16.1,73.3,6.2,31.1,21.9,25.8,34.2,21.9,26.8,21.3,0
Arima,2005-02-23,79.0,1.016,11.4,72.0,6.9,32.1,23.1,25.8,35.3,23.1,26.5,21.7,1
Arima,2005-02-24,78.6,0.9906,16.1,52.5,7.4,32.0,22.1,26.3,35.0,22.1,27.5,21.9,1
Arima,2005-02-25,79.0,0.0254,16.1,64.5,7.2,33.0,24.1,27.5,37.2,24.1,29.3,23.1,1
Arima,2005-02-26,73.1,0.3048,16.1,65.3,7.9,33.1,23.9,27.7,37.2,23.9,29.3,22.1,1
Arima,2005-02-27,77.1,0.0254,13.9,71.9,7.2,33.0,22.1,27.2,36.2,22.1,28.6,22.2,1
Arima,2005-02-28,85.0,7.010400000000001,16.0,48.0,8.1,32.1,23.9,26.1,34.4,23.9,26.8,23.0,1
Arima,2005-03-01,75.8,0.0,15.0,35.3,8.8,33.0,21.1,26.9,37.1,21.1,28.4,21.6,0
Arima,2005-03-02,63.0,0.0,13.9,40.7,8.7,33.2,24.1,29.4,35.6,24.1,31.4,21.2,0
Arima,2005-03-03,67.6,0.4826,12.8,48.2,8.9,33.0,23.4,28.2,36.2,23.4,29.8,21.2,1
Arima,2005-03-04,72.6,0.0,12.8,53.1,8.6,32.1,21.6,27.1,34.6,21.6,28.3,21.2,0
Arima,2005-03-05,77.6,0.0,13.9,74.5,8.5,32.6,22.1,26.3,34.7,22.1,27.1,21.6,0
Arima,2005-03-06,72.8,0.0,12.8,84.4,9.9,33.3,22.1,27.2,36.8,22.1,28.4,21.3,0
Arima,2005-03-07,61.4,0.0,19.4,51.7,9.9,33.3,23.8,30.1,37.2,23.8,32.7,21.5,0
Arima,2005-03-08,77.5,0.9906,11.4,73.3,8.1,33.0,22.7,26.4,34.7,22.7,27.3,21.7,1
Arima,2005-03-09,72.1,0.0,12.7,76.9,8.3,33.8,22.1,27.2,36.0,22.1,28.1,21.0,0
Arima,2005-03-10,77.3,0.0,12.8,74.5,9.3,33.6,23.2,27.1,36.7,23.2,28.3,22.4,0
Arima,2005-03-11,83.9,1.6001999999999998,12.8,60.8,7.6,32.1,24.1,26.4,38.1,24.1,28.1,23.3,1
Arima,2005-03-12,66.0,0.0,16.1,39.5,8.3,32.1,22.7,28.9,35.9,22.7,31.2,21.6,0
Arima,2005-03-13,69.9,0.0,16.1,51.4,8.9,33.1,21.1,27.9,37.1,21.1,29.7,21.4,0
Arima,2005-03-14,62.4,0.0,12.7,32.9,8.6,33.0,23.1,28.4,34.7,23.1,29.4,19.9,0
Arima,2005-03-15,68.2,0.0,11.4,48.7,9.3,34.0,21.2,26.7,36.5,21.2,27.6,19.8,0
Arima,2005-03-16,67.3,0.0,13.8,48.0,9.8,33.8,21.1,26.6,35.6,21.1,27.2,19.5,0
Arima,2005-03-17,59.0,0.0,15.0,57.1,7.5,34.0,21.8,29.0,34.6,21.8,30.0,19.6,0
Arima,2005-03-18,70.9,0.0,11.4,40.6,10.0,32.8,24.4,26.6,35.0,24.4,27.1,20.7,0
Arima,2005-03-19,72.5,0.0,13.9,67.6,7.5,33.1,23.1,28.1,37.2,23.1,30.1,22.2,0
Arima,2005-03-20,85.1,0.0,16.1,32.0,7.4,32.8,24.1,26.1,35.4,24.1,27.1,23.2,0
Arima,2005-03-21,68.8,0.9906,17.2,40.0,6.6,33.2,24.1,28.7,35.9,24.1,30.4,21.9,1
Arima,2005-03-22,70.3,0.7874,20.8,49.8,7.0,33.0,24.7,28.9,36.2,24.7,31.7,22.7,1
Arima,2005-03-23,67.1,0.0,18.3,35.5,7.5,33.5,24.4,28.9,35.8,24.4,30.5,21.6,0
Arima,2005-03-24,68.8,0.0,14.9,43.8,7.9,33.0,24.1,28.3,36.5,24.1,29.9,21.6,0
Arima,2005-03-25,92.4,9.067799999999998,12.8,75.3,6.1,27.1,24.1,24.9,30.4,24.1,25.2,23.6,1
Arima,2005-03-26,89.4,10.1854,18.3,67.5,5.8,30.0,23.1,25.2,34.2,23.1,26.1,23.2,1
Arima,2005-03-27,76.8,3.3274,15.0,52.5,9.2,31.3,25.1,27.3,34.4,25.1,28.8,22.7,1
Arima,2005-03-28,82.7,1.9304,15.0,74.3,7.6,30.3,23.7,26.2,33.8,23.7,27.3,22.8,1
Arima,2005-03-29,68.4,1.9812,21.9,60.5,9.0,32.0,24.4,28.9,35.8,24.4,31.3,22.2,1
Arima,2005-03-30,81.9,0.0,17.3,67.2,7.9,31.6,23.9,26.4,34.6,23.9,27.6,22.8,0
Arima,2005-03-31,82.2,3.0226,17.2,79.8,4.9,31.1,24.1,26.9,36.6,24.1,28.7,23.5,1
Arima,2005-04-01,73.5,0.0,17.2,56.8,6.4,32.0,25.6,28.9,36.9,25.6,31.9,23.4,0
Arima,2005-04-02,76.3,0.0,13.9,46.6,6.6,33.0,24.1,28.3,38.2,24.1,30.9,23.3,0
Arima,2005-04-03,70.4,0.0,17.2,53.0,5.9,32.1,26.3,29.6,36.9,26.3,33.6,23.4,0
Arima,2005-04-04,85.2,0.0,11.4,56.0,6.7,29.3,25.1,26.3,32.3,25.1,26.8,23.5,0
Arima,2005-04-05,72.9,0.0,21.9,76.5,6.4,32.0,24.9,28.4,35.6,24.9,30.6,22.7,0
Arima,2005-04-06,67.6,0.0,18.3,83.8,6.9,32.1,25.2,28.8,35.0,25.2,31.2,21.9,0
Arima,2005-04-07,69.0,0.0,19.4,68.4,6.8,33.0,25.1,28.6,37.1,25.1,30.8,22.1,0
Arima,2005-04-08,74.7,0.0,17.2,75.2,6.4,32.6,25.1,28.3,37.2,25.1,30.8,23.2,0
Arima,2005-04-09,77.1,2.9718,18.3,80.1,6.5,32.1,24.4,27.8,36.9,24.4,29.7,23.2,1
Arima,2005-04-10,81.6,0.508,17.2,74.6,6.5,31.1,24.1,27.1,34.7,24.1,28.8,23.4,1
Arima,2005-04-11,78.1,0.0,14.9,88.2,6.8,34.0,25.1,28.3,42.4,25.1,30.9,23.7,0
Arima,2005-04-12,77.0,0.0,15.0,85.0,6.9,33.1,25.7,28.7,38.2,25.7,31.6,23.9,0
Arima,2005-04-13,76.7,0.0,19.4,90.0,6.1,33.0,25.1,28.2,37.1,25.1,30.3,23.4,0
Arima,2005-04-14,74.4,0.0,18.3,84.7,5.2,32.3,25.1,28.3,37.1,25.1,30.3,23.0,0
Arima,2005-04-15,72.7,0.0254,19.4,53.3,5.5,33.0,24.7,28.5,37.1,24.7,30.7,22.7,1
Arima,2005-04-16,72.0,0.0,17.2,50.1,6.1,33.0,24.1,28.2,35.6,24.1,29.9,22.2,0
Arima,2005-04-17,71.1,0.0,19.5,61.7,6.8,33.1,22.4,27.7,35.4,22.4,28.9,21.3,0
Arima,2005-04-18,73.1,0.0,15.0,59.7,7.1,33.0,23.8,28.2,36.2,23.8,30.2,22.4,0
Arima,2005-04-19,73.4,0.0,16.1,79.4,7.2,34.1,24.7,28.4,38.3,24.7,30.6,22.8,0
Arima,2005-04-20,76.8,0.0,15.0,88.3,6.9,34.0,25.1,28.3,39.4,25.1,30.9,23.6,0
Arima,2005-04-21,71.0,0.0,13.9,70.0,7.0,34.0,25.9,29.1,37.4,25.9,31.1,22.7,0
Arima,2005-04-22,77.6,0.0,17.2,86.2,7.4,33.3,25.1,28.7,39.3,25.1,32.1,24.1,0
Arima,2005-04-23,76.0,0.0,13.9,76.6,6.8,34.0,26.1,29.2,40.7,26.1,32.8,24.2,0
Arima,2005-04-24,73.3,0.0,16.1,56.0,7.1,33.5,25.1,29.1,38.2,25.1,31.9,23.4,0
Arima,2005-04-25,72.5,0.0,13.9,43.8,5.7,35.0,25.8,29.1,38.6,25.8,31.4,23.1,0
Arima,2005-04-26,68.5,0.0,13.9,38.8,8.3,34.1,24.1,28.9,37.4,24.1,30.7,21.9,0
Arima,2005-04-27,67.6,0.0,16.1,40.8,8.9,34.1,22.1,28.4,36.6,22.1,30.1,21.3,0
Arima,2005-04-28,67.0,0.0,11.4,46.8,8.4,35.0,24.1,28.8,37.7,24.1,30.4,21.4,0
Arima,2005-04-29,75.1,0.0,14.9,73.3,8.9,34.0,24.1,28.4,37.4,24.1,31.1,23.2,0
Arima,2005-04-30,79.8,1.9812,13.8,75.4,8.0,32.8,24.7,27.8,38.0,24.7,30.2,23.8,1
Arima,2005-05-01,87.6,4.8514,17.2,85.5,8.1,30.1,24.9,26.4,36.3,24.9,28.0,24.2,1
Arima,2005-05-02,80.8,0.0,9.2,81.2,8.2,33.1,23.7,27.6,37.2,23.7,29.9,23.6,0
Arima,2005-05-03,76.6,0.0,17.1,43.9,8.2,34.1,24.1,28.4,39.5,24.1,31.1,23.4,0
Arima,2005-05-04,77.9,0.0254,20.8,61.6,8.1,32.8,25.1,28.1,37.5,25.1,30.4,23.5,1
Arima,2005-05-05,79.6,4.2926,17.2,66.5,7.7,34.0,25.1,28.1,37.4,25.1,30.7,23.9,1
Arima,2005-05-06,88.6,2.032,16.1,80.0,6.0,30.8,24.1,26.4,36.1,24.1,27.9,24.3,1
Arima,2005-05-07,85.0,3.048,21.8,75.7,6.6,32.1,24.1,27.5,38.0,24.1,30.1,24.5,1
Arima,2005-05-08,81.9,1.4732,13.8,76.1,7.1,32.0,25.1,28.0,39.3,25.1,30.8,24.4,1
Arima,2005-05-09,80.9,3.556,15.0,86.5,6.4,31.1,24.7,27.7,37.8,24.7,30.2,23.9,1
Arima,2005-05-10,78.5,0.0,15.0,84.1,6.5,32.6,24.1,28.1,39.1,24.1,31.0,23.7,0
Arima,2005-05-11,74.8,0.0,16.1,68.1,7.6,33.0,24.1,28.4,37.1,24.1,30.9,23.1,0
Arima,2005-05-12,84.2,6.0706,14.9,58.1,6.9,32.1,24.1,27.6,38.8,24.1,30.6,24.5,1
Arima,2005-05-13,78.2,1.9812,16.2,83.1,6.0,32.5,25.6,28.6,38.0,25.6,31.4,24.1,1
Arima,2005-05-14,83.7,10.795,16.1,89.2,5.8,32.1,25.1,28.0,38.0,25.1,31.2,24.8,1
Arima,2005-05-15,92.1,8.407399999999999,12.7,89.2,5.6,30.1,25.1,26.9,37.5,25.1,29.5,25.5,1
Arima,2005-05-16,95.0,33.9852,13.8,87.9,5.2,29.0,24.7,25.8,35.7,24.7,26.4,24.9,1
Arima,2005-05-17,79.7,0.3048,12.7,64.2,6.6,33.0,24.7,28.3,38.2,24.7,31.0,24.0,1
Arima,2005-05-18,77.9,0.0,13.9,54.4,7.3,34.1,23.1,27.9,39.5,23.1,30.4,23.3,0
Arima,2005-05-19,86.2,11.1252,8.0,69.0,7.7,33.1,23.4,27.1,40.7,23.4,30.1,24.4,1
Arima,2005-05-20,78.0,0.0,11.4,80.0,8.5,34.0,23.9,28.8,40.7,23.9,32.6,24.2,0
Arima,2005-05-21,77.9,0.0,10.3,89.9,6.1,33.0,25.1,28.5,38.2,25.1,31.6,24.0,0
Arima,2005-05-22,80.7,0.0,15.0,61.0,7.9,33.3,25.1,28.7,40.6,25.1,32.7,24.8,0
Arima,2005-05-23,75.7,0.0,11.4,40.5,8.7,34.0,26.1,29.5,39.6,26.1,33.7,24.4,0
Arima,2005-05-24,79.6,49.403,12.7,51.5,8.8,33.0,25.1,28.8,39.3,25.1,32.9,24.7,1
Arima,2005-05-25,79.3,0.0,13.9,61.7,8.3,33.0,24.9,28.7,39.3,24.9,32.6,24.6,0
Arima,2005-05-26,81.2,2.1336,13.9,73.5,7.4,32.1,25.1,28.4,40.8,25.1,32.4,24.7,1
Arima,2005-05-27,87.5,14.858999999999998,12.7,73.7,6.5,32.3,25.1,27.6,39.9,25.1,31.0,25.2,1
Arima,2005-05-28,81.8,1.9812,13.9,42.9,5.0,33.0,24.7,28.4,39.3,24.7,32.1,24.7,1
Arima,2005-05-29,87.0,2.54,15.1,87.3,8.0,29.1,25.7,27.2,34.7,25.7,29.9,24.8,1
Arima,2005-05-30,86.7,3.7592,9.3,91.2,5.9,31.1,25.1,27.0,36.7,25.1,29.4,24.6,1
Arima,2005-05-31,83.3,13.6652,15.0,85.4,5.2,32.1,25.7,27.9,37.9,25.7,30.7,24.7,1
Arima,2005-06-01,83.6,8.001,22.9,83.4,5.3,32.5,24.4,27.6,38.8,24.4,30.0,24.3,1
Arima,2005-06-02,90.9,27.1526,16.1,83.6,5.9,29.3,24.1,26.0,35.7,24.1,27.3,24.4,1
Arima,2005-06-03,94.2,142.39239999999998,8.2,90.8,6.0,29.1,24.1,25.6,34.7,24.1,26.3,24.6,1
Arima,2005-06-04,89.7,7.086600000000001,16.1,91.7,6.6,30.0,24.1,26.4,36.3,24.1,28.3,24.6,1
Arima,2005-06-05,84.2,5.842,9.2,89.6,8.4,31.1,25.7,27.9,39.3,25.7,31.3,24.9,1
Arima,2005-06-06,88.4,2.032,9.1,90.0,7.8,31.0,25.1,26.9,37.8,25.1,29.1,24.8,1
Arima,2005-06-07,91.9,14.0462,5.8,90.4,7.6,30.1,24.1,25.8,35.2,24.1,26.9,24.4,1
Arima,2005-06-08,86.8,7.7978,9.2,86.7,7.9,31.1,23.1,26.5,39.2,23.1,28.9,24.0,1
Arima,2005-06-09,81.9,0.0,14.9,71.3,8.7,32.1,23.1,27.4,38.0,23.1,30.3,23.8,0
Arima,2005-06-10,83.8,0.7874,8.1,90.0,8.0,32.1,25.1,28.2,39.3,25.1,31.8,25.0,1
Arima,2005-06-11,78.9,0.0,10.3,89.6,9.7,33.1,25.1,28.6,39.3,25.1,31.9,24.3,0
Arima,2005-06-12,80.2,0.0,13.8,84.9,8.2,33.0,25.1,28.4,39.4,25.1,32.2,24.6,0
Arima,2005-06-13,92.1,12.7508,13.9,88.3,6.6,30.1,25.1,26.4,36.4,25.1,27.7,25.0,1
Arima,2005-06-14,89.7,13.7414,9.2,78.0,6.8,32.0,24.7,27.2,40.7,24.7,30.3,25.3,1
Arima,2005-06-15,78.0,0.0508,13.9,79.4,8.1,32.3,26.1,29.1,39.2,26.1,33.4,24.7,1
Arima,2005-06-16,80.9,0.0508,16.0,71.3,9.3,33.3,25.8,28.7,40.7,25.8,32.7,24.9,1
Arima,2005-06-17,79.9,0.0,13.9,40.8,8.7,33.0,25.1,28.8,39.3,25.1,32.7,24.7,0
Arima,2005-06-18,85.7,4.0386,13.9,66.1,6.7,32.1,25.8,27.8,38.3,25.8,31.1,25.1,1
Arima,2005-06-19,89.3,18.542,14.9,90.4,6.0,30.1,25.1,27.0,36.3,25.1,29.3,25.1,1
Arima,2005-06-20,91.4,26.0096,11.4,84.6,5.9,31.1,24.7,26.6,37.9,24.7,28.3,25.0,1
Arima,2005-06-21,82.2,0.1016,17.2,69.3,8.3,32.1,24.1,28.1,39.1,24.1,31.8,24.6,1
Arima,2005-06-22,89.6,2.9972,11.4,78.4,7.1,30.0,24.9,26.1,35.2,24.9,27.2,24.2,1
Arima,2005-06-23,85.7,3.0226,16.1,77.2,8.3,30.6,24.1,26.6,36.1,24.1,28.3,23.9,1
Arima,2005-06-24,93.8,0.0,0.1,90.0,7.5,28.8,25.1,26.1,34.9,25.1,26.8,25.1,0
Arima,2005-06-26,71.7,0.0,17.2,44.9,8.5,32.5,26.1,29.6,38.0,26.1,33.4,23.7,0
Arima,2005-06-27,80.6,1.016,15.0,86.3,7.2,31.0,24.8,28.0,36.6,24.8,31.0,24.2,1
Arima,2005-06-28,87.9,5.6134,13.9,88.2,7.2,32.0,24.8,27.2,40.7,24.8,30.2,24.9,1
Arima,2005-06-29,87.3,0.5841999999999999,13.8,89.1,7.0,31.0,24.1,27.1,36.7,24.1,29.6,24.7,1
Arima,2005-06-30,85.9,17.983199999999997,17.2,90.0,6.0,31.8,24.1,27.3,37.3,24.1,29.6,24.5,1
Arima,2005-07-01,77.9,0.3048,17.2,60.1,6.4,33.0,25.1,28.6,39.3,25.1,31.7,24.1,1
Arima,2005-07-02,76.7,0.0,16.1,51.6,7.0,33.0,24.1,28.3,38.2,24.1,30.8,23.4,0
Arima,2005-07-03,86.6,3.1496,12.6,73.0,6.0,33.0,23.6,26.8,39.3,23.6,28.4,24.2,1
Arima,2005-07-04,92.7,18.0594,11.3,92.5,5.9,31.0,24.1,25.6,37.8,24.1,26.6,24.3,1
Arima,2005-07-05,88.2,14.0462,11.5,83.8,7.7,30.0,24.1,26.2,35.2,24.1,27.7,23.9,1
Arima,2005-07-06,85.1,2.286,8.0,86.5,7.5,30.0,24.7,26.7,34.7,24.7,28.4,23.9,1
Arima,2005-07-07,86.3,3.9624,11.5,69.1,7.5,31.1,23.1,26.7,39.2,23.1,29.2,24.1,1
Arima,2005-07-08,87.3,2.1590000000000003,12.6,82.5,7.6,30.0,23.8,26.1,34.2,23.8,27.3,23.7,1
Arima,2005-07-09,90.3,3.1496,11.3,89.0,7.4,28.3,24.1,25.9,32.8,24.1,27.1,24.1,1
Arima,2005-07-10,88.6,17.3228,12.7,90.0,5.6,30.3,23.1,25.7,35.2,23.1,26.9,23.5,1
Arima,2005-07-11,82.5,0.0254,18.3,82.3,6.9,31.3,22.7,27.1,36.6,22.7,29.4,23.6,1
Arima,2005-07-12,77.1,0.0,11.4,56.7,8.3,33.1,24.1,28.0,38.1,24.1,30.1,23.2,0
Arima,2005-07-13,86.0,0.1777999999999999,30.0,75.1,6.1,31.0,22.1,25.9,36.6,22.1,27.4,23.3,1
Arima,2005-07-14,87.9,116.2812,11.4,94.8,6.6,31.0,22.1,26.2,36.6,22.1,27.7,23.8,1
Arima,2005-07-15,78.4,0.0,17.2,66.3,7.2,32.0,25.1,28.0,36.9,25.1,30.5,23.6,0
Arima,2005-07-16,75.3,0.3048,11.4,42.7,7.0,33.1,24.1,28.4,38.2,24.1,30.9,23.2,1
Arima,2005-07-17,80.8,0.0,16.1,85.6,6.6,32.0,24.6,27.8,38.0,24.6,30.6,24.0,0
Arima,2005-07-18,90.7,37.1094,14.9,90.4,6.6,29.6,24.1,25.7,34.0,24.1,26.6,24.0,1
Arima,2005-07-19,84.9,2.9718,12.8,79.4,7.6,31.1,24.1,26.8,37.8,24.1,28.9,23.9,1
Arima,2005-07-20,87.5,20.8534,11.4,76.2,6.5,31.3,24.1,26.9,37.2,24.1,29.2,24.6,1
Arima,2005-07-21,84.3,1.9812,16.0,77.0,6.3,31.1,24.7,27.1,35.6,24.7,28.9,24.0,1
Arima,2005-07-22,82.1,0.3048,11.4,57.5,7.9,32.5,23.9,27.6,38.0,23.9,30.4,24.0,1
Arima,2005-07-23,81.0,0.0,16.1,64.7,7.5,32.1,25.1,28.2,37.9,25.1,31.4,24.4,0
Arima,2005-07-24,88.0,2.5146,11.3,83.4,6.8,29.1,24.9,26.7,34.6,24.9,28.9,24.6,1
Arima,2005-07-25,82.5,0.508,9.2,66.1,6.7,32.1,24.1,27.6,39.3,24.1,30.8,24.2,1
Arima,2005-07-26,88.2,54.5084,13.9,60.8,7.0,31.1,24.1,26.7,37.9,24.1,28.6,24.5,1
Arima,2005-07-27,79.0,0.0,10.3,49.5,9.0,33.0,24.1,28.3,39.3,24.1,31.3,23.9,0
Arima,2005-07-28,77.5,0.3048,10.3,36.1,7.9,34.0,24.1,28.6,40.7,24.1,31.8,23.9,1
Arima,2005-07-29,82.5,7.010400000000001,11.4,69.9,7.1,32.1,24.4,27.7,38.1,24.4,30.8,24.3,1
Arima,2005-07-30,78.6,1.9812,11.5,58.4,8.0,32.1,24.8,28.5,39.3,24.8,32.1,24.2,1
Arima,2005-07-31,86.2,9.906,11.3,88.6,7.8,31.6,24.1,26.7,36.3,24.1,28.1,24.0,1
Arima,2005-08-01,81.0,4.0894,11.4,59.6,8.4,32.1,23.7,27.9,39.3,23.7,31.4,24.2,1
Arima,2005-08-02,86.6,12.6746,12.7,65.2,7.2,31.1,24.1,26.7,36.7,24.1,28.3,24.1,1
Arima,2005-08-03,79.3,4.0386,15.0,49.9,6.9,32.1,25.1,28.1,38.4,25.1,30.9,23.9,1
Arima,2005-08-04,86.1,8.0772,17.2,66.6,5.9,32.1,24.1,27.3,39.2,24.1,29.9,24.6,1
Arima,2005-08-05,79.3,4.0386,19.4,77.9,6.4,32.1,25.7,28.4,38.0,25.7,31.6,24.3,1
Arima,2005-08-06,77.4,0.0,16.1,44.5,7.0,33.1,24.1,28.4,39.3,24.1,31.4,23.7,0
Arima,2005-08-07,77.9,0.0,12.8,69.8,8.6,33.0,24.1,28.3,38.2,24.1,31.2,23.7,0
Arima,2005-08-08,85.6,4.953,9.1,75.7,7.2,31.6,24.9,27.2,37.4,24.9,29.6,24.4,1
Arima,2005-08-09,81.9,0.0,12.7,54.1,8.5,33.0,23.8,27.7,39.3,23.8,30.7,24.1,0
Arima,2005-08-10,89.3,42.3926,11.4,70.6,7.5,31.1,24.1,25.9,37.8,24.1,27.2,24.0,1
Arima,2005-08-11,90.0,20.9804,9.2,73.9,7.1,30.1,22.9,25.5,36.3,22.9,26.9,23.7,1
Arima,2005-08-12,89.4,13.1318,9.2,57.2,7.6,33.0,23.1,26.6,39.3,23.1,28.7,24.5,1
Arima,2005-08-13,86.9,9.779,17.2,64.5,8.0,31.1,24.1,26.8,37.8,24.1,29.5,24.4,1
Arima,2005-08-14,84.2,0.9906,12.7,70.4,8.4,33.0,24.1,26.9,39.3,24.1,28.6,23.6,1
Arima,2005-08-15,89.2,10.922,16.1,82.1,7.0,29.6,23.1,25.9,34.5,23.1,27.4,23.9,1
